Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,4.7uF,C19666
"C4, C5",0603,2,1uF,C15849
"D43, D44, D45, D46",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm-reversible,4,WS2812B,C2761795
H1,vik-module-mounting-large,1,MountingHole,
IC2,SOT-23-5_HandSoldering,1,AP7335-WG-7,C460382
J1,vik-module-connector-horizontal,1,~,C479750
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x06_Female,
"R1, R6",0603,2,10k,C25804
R2,0603,1,39,C23154
"R3, R4",D3_TH_SMD,2,4.7k,
R5,0603,1,15k,C22809
SW1,PERS56v3,1,RotaryEncoder,
U1,PMW3360,1,PMW3360DM-T2QU,
