Designator,Mid X,Mid Y,Rotation,Layer
C1,164.275,-124.425,180.0,bottom
C4,162.65,-126.375,0.0,bottom
C5,159.05,-117.925,180.0,bottom
D43,163.83,-133.35,90.0,top
D44,185.42,-133.35,90.0,top
D45,185.42,-107.95,270.0,top
D46,163.83,-107.95,90.0,top
H1,174.524743,-120.65,0.0,top
IC2,158.625,-124.975,90.0,bottom
J1,147.32,-137.16,90.0,bottom
J2,156.895,-149.975,90.0,top
R1,189.6,-142.325,270.0,bottom
R2,177.225,-110.375,0.0,bottom
R3,149.275,-147.6,0.0,bottom
R4,149.3,-149.725,0.0,bottom
R5,160.275,-120.475,90.0,bottom
R6,157.675,-120.475,90.0,bottom
SW1,174.552257,-119.94,0.0,top
U1,174.55,-120.925,0.0,bottom
