Designator,Mid X,Mid Y,Rotation,Layer
C1,157.325,-136.525,90.0,bottom
C2,162.425,-117.325,90.0,bottom
C3,163.475,-126.325,180.0,bottom
D43,163.83,-133.35,90.0,top
D44,185.42,-133.35,90.0,top
D45,185.42,-107.95,270.0,top
D46,163.83,-107.95,90.0,top
IC1,158.625,-125.2,90.0,bottom
J1,147.32,-137.16,90.0,bottom
R1,189.6,-142.95,270.0,bottom
R2,177.275,-110.375,0.0,bottom
R3,162.425,-122.35,90.0,bottom
R4,159.325,-119.8625,90.0,bottom
SW1,174.552257,-119.94,0.0,top
U1,174.55,-120.925,0.0,bottom
U2,190.4325,-121.2,0.0,bottom
