Designator,Mid X,Mid Y,Rotation,Layer
_2,81.648,-100.181999,0.0,top
,81.648,-100.181999,0.0,top
C1001,73.299194,-113.832271,270.0,bottom
C1002,84.019194,-121.012271,270.0,bottom
C1005,70.269194,-109.077271,90.0,bottom
IC1001,71.509194,-118.612271,90.0,bottom
J1003,90.710194,-111.562271,270.0,bottom
R1001,86.479194,-121.112271,0.0,bottom
R1002,74.139194,-120.872271,270.0,bottom
R1003,70.259194,-112.372271,90.0,bottom
R1004,71.059194,-114.592271,0.0,bottom
U1001,77.309194,-118.288,0.0,bottom
