Designator,Mid X,Mid Y,Rotation,Layer
_2,81.648,-92.181999,0.0,top
,81.648,-92.181999,0.0,top
C1001,70.894194,-111.257271,270.0,bottom
C1002,77.319194,-97.607271,270.0,bottom
C1005,85.994194,-99.257271,0.0,bottom
IC1001,81.469194,-98.232271,0.0,bottom
J1001,92.975,-104.15,0.0,top
J1002,70.644194,-127.282271,180.0,top
J1003,89.069194,-124.372271,270.0,bottom
R1001,73.244194,-112.857271,270.0,bottom
R1002,81.844194,-120.282271,0.0,bottom
R1003,70.894194,-108.207271,270.0,bottom
R1004,70.894194,-105.132271,90.0,bottom
R1005,74.369194,-126.532271,90.0,bottom
R1006,76.544194,-126.557271,90.0,bottom
U1001,77.311,-118.288,0.0,bottom
