Designator,Mid X,Mid Y,Rotation,Layer
C2,210.695,-151.12,0.0,bottom
C3,214.595,-151.12,180.0,bottom
D1,238.34,-92.7675,90.0,bottom
D100,159.33,-137.41,180.0,bottom
D101,167.67,-137.39,180.0,bottom
D102,176.33,-137.38,180.0,bottom
D103,184.78,-137.38,180.0,bottom
D2,234.53,-92.7675,90.0,bottom
D3,230.72,-92.7675,90.0,bottom
D4,238.32,-98.48,90.0,bottom
D5,234.515,-98.48,90.0,bottom
D6,230.71,-98.48,90.0,bottom
J1,147.412,-145.7,90.0,bottom
J17,237.89,-103.02,0.0,top
J2,158.45,-106.57,0.0,top
J3,238.44,-145.53,180.0,top
J4,231.01,-145.61,180.0,top
J5,146.17,-106.57,0.0,top
J6,156.895,-149.975,90.0,top
R7,203.595,-138.75,270.0,bottom
R8,159.4,-144.83,90.0,bottom
R9,161.96,-144.88,90.0,bottom
SW1,210.74,-98.29,180.0,bottom
SW10,152.13,-96.07,180.0,bottom
SW2,191.74,-98.29,180.0,bottom
SW3,172.74,-98.29,180.0,bottom
SW4,210.74,-117.29,180.0,bottom
SW5,191.74,-117.29,180.0,bottom
SW6,172.74,-117.29,180.0,bottom
U1,148.08,-131.56,180.0,bottom
U2,214.59,-144.07,90.0,bottom
