Designator,Mid X,Mid Y,Rotation,Layer
_2,81.648,-103.761999,0.0,top
,81.648,-103.761999,0.0,top
J1001,66.131194,-101.6,180.0,bottom
J1002,70.195194,-101.6,0.0,top
J1003,91.277194,-90.686,0.0,bottom
J1004,79.847194,-97.79,90.0,top
J1005,79.847194,-101.6,90.0,top
J1006,79.847194,-104.14,90.0,top
J1007,79.847194,-106.68,90.0,top
J1008,79.847194,-109.22,90.0,top
J1009,79.847194,-111.76,90.0,top
J1010,79.847194,-114.3,90.0,top
J1011,76.545194,-101.6,0.0,top
J1012,79.847194,-116.84,90.0,top
J1013,79.847194,-119.38,90.0,top
J1014,79.847194,-121.92,90.0,top
J1015,74.005194,-101.6,0.0,top
J1016,111.089194,-101.6,0.0,top
J1017,113.629194,-101.6,0.0,top
J1018,79.847194,-124.46,90.0,top
J1019,79.847194,-127.0,90.0,top
J1020,79.847194,-129.54,90.0,top
