Designator,Mid X,Mid Y,Rotation,Layer
D1,166.7425,-90.63,0.0,bottom
D10,185.72,-128.15,0.0,bottom
D11,204.7525,-128.13,0.0,bottom
D12,223.72,-128.13,0.0,bottom
D13,166.72,-147.13,0.0,bottom
D14,185.86,-147.14,0.0,bottom
D15,204.9225,-147.18,0.0,bottom
D16,223.7625,-147.14,0.0,bottom
D17,171.82,-177.93,0.0,bottom
D18,214.23,-166.14,0.0,bottom
D2,185.7625,-90.64,0.0,bottom
D21,156.2625,-95.24,0.0,bottom
D22,156.31,-98.09,0.0,bottom
D23,156.21,-100.9,0.0,bottom
D24,160.35,-107.57,0.0,bottom
D25,160.45,-110.33,0.0,bottom
D26,155.94,-113.84,0.0,bottom
D27,155.98,-117.54,0.0,bottom
D28,156.01,-120.48,0.0,bottom
D29,152.43,-107.89,180.0,bottom
D3,204.73,-90.65,0.0,bottom
D30,152.4375,-110.5,180.0,bottom
D4,166.7525,-109.13,0.0,bottom
D5,185.73,-109.14,0.0,bottom
D6,204.74,-109.14,0.0,bottom
D7,223.68,-90.7,0.0,bottom
D8,223.98,-109.13,0.0,bottom
D9,166.7425,-128.15,0.0,bottom
J1,151.8,-130.71,90.0,bottom
J2,155.86,-136.03,0.0,top
J3,159.715,-90.93,90.0,top
J4,163.26,-178.94,0.0,top
J5,156.575,-124.92,90.0,top
R8,164.5,-130.91,0.0,bottom
R9,164.54,-133.15,0.0,bottom
SW1,175.0,-98.14,0.0,top
SW10,194.0,-136.14,0.0,top
SW11,213.0,-136.14,0.0,top
SW12,232.0,-136.14,0.0,top
SW13,175.0,-155.14,0.0,top
SW14,194.0,-155.14,0.0,top
SW15,213.0,-155.14,0.0,top
SW16,232.0,-155.14,0.0,top
SW17,184.5,-174.14,0.0,top
SW18,222.5,-174.14,0.0,top
SW2,194.0,-98.14,0.0,top
SW3,213.0,-98.14,0.0,top
SW4,232.0,-98.14,0.0,top
SW5,175.0,-117.14,0.0,top
SW6,194.0,-117.14,0.0,top
SW7,213.0,-117.14,0.0,top
SW8,232.0,-117.14,0.0,top
SW9,175.0,-136.14,0.0,top
U1,157.49,-170.96,0.0,top
U2,157.515,-148.815,0.0,top
U3,149.94,-162.23,0.0,top
U4,149.92,-140.03,0.0,top
